ID,Framing,Age,Gender,Grade,Objective,Score
1,P,18to24,M,UG,H,75
2,P,25to34,other,HS,M,56
3,P,35to44,other,HS,L,5
4,P,45to54,F,UG,M,50
5,P,25to34,F,PG,M,51
6,P,45to54,F,HS,H,89
7,P,18to24,F,UG,L,20
8,P,18to24,F,UG,M,45
9,P,55to64,F,UG,H,84
10,P,25to34,F,UG,H,100
11,P,25to34,M,UG,M,52
12,P,25to34,other,UG,L,30
13,P,45to54,M,HS,L,20
14,P,45to54,F,UG,M,54
15,P,18to24,M,UG,H,70
16,P,18to24,M,UG,L,0
17,P,45to54,F,PG,H,98
18,P,18to24,M,HS,M,36
19,P,35to44,M,OT,H,100
20,P,25to34,M,UG,L,0
21,P,25to34,F,HS,H,76
22,P,25to34,other,UG,L,67
23,P,25to34,M,HS,H,100
24,P,18to24,M,UG,L,12
25,P,25to34,F,UG,H,100
26,P,18to24,M,HS,H,100
27,P,25to34,M,HS,M,51
28,P,18to24,M,UG,M,36
29,P,18to24,M,UG,M,50
30,P,25to34,M,UG,H,100
31,P,25to34,F,UG,L,NA
32,P,35to44,F,UG,L,10
33,P,18to24,M,UG,M,50
34,P,18to24,F,UG,H,75
35,P,25to34,M,UG,L,1
36,P,25to34,F,UG,M,50
37,P,18to24,M,UG,H,100
38,P,25to34,F,UG,L,20
39,P,35to44,F,PG,H,100
40,P,45to54,F,HS,L,5
41,P,18to24,M,UG,H,90
42,P,25to34,F,PG,H,81
43,P,25to34,M,UG,H,100
44,P,18to24,M,UG,L,7
45,P,18to24,M,HS,L,24
46,P,25to34,M,UG,M,55
47,P,25to34,F,UG,H,75
48,P,25to34,F,HS,M,50
49,P,18to24,M,UG,M,60
50,P,25to34,M,UG,M,50
51,P,35to44,M,UG,M,46
52,P,18to24,F,HS,M,50
53,P,35to44,F,UG,H,100
54,P,35to44,M,HS,L,NA
55,P,35to44,F,UG,M,44
56,P,45to54,F,UG,L,4
57,P,35to44,M,PG,M,55
58,P,18to24,F,HS,M,61
59,P,25to34,M,UG,H,82
60,P,25to34,M,HS,M,54
61,P,25to34,M,HS,H,75
62,P,25to34,F,PG,H,100
63,P,25to34,F,UG,H,81
64,P,25to34,M,UG,H,90
65,P,18to24,M,UG,L,NA
66,P,25to34,F,UG,L,33
67,P,45to54,M,UG,L,33
68,P,25to34,F,UG,H,90
69,P,25to34,other,HS,H,100
70,P,25to34,other,UG,M,41
71,P,35to44,M,UG,L,26
72,P,18to24,F,HS,L,0
73,P,25to34,M,UG,L,67
74,P,18to24,M,HS,H,75
75,P,18to24,other,UG,M,50
76,P,18to24,M,UG,M,50
77,P,18to24,M,UG,M,52
78,P,18to24,M,UG,H,75
79,P,25to34,M,UG,H,83
80,P,35to44,F,UG,L,25
81,P,35to44,M,UG,M,53
82,P,25to34,F,HS,M,41
83,P,45to54,F,PG,M,53
84,P,25to34,M,HS,M,37
85,P,25to34,F,HS,M,51
86,P,25to34,M,UG,M,53
87,P,25to34,F,UG,L,32
88,P,25to34,F,UG,H,100
89,P,25to34,M,UG,M,51
90,P,25to34,M,UG,M,50
91,P,25to34,M,UG,L,NA
92,P,25to34,F,UG,H,100
93,P,25to34,M,OT,M,51
94,P,25to34,F,PG,H,70
95,P,25to34,other,OT,L,0
96,P,35to44,F,UG,M,57
97,P,45to54,F,UG,H,100
98,P,35to44,M,UG,H,100
99,P,18to24,M,UG,H,100
100,P,25to34,M,UG,H,100
101,P,25to34,M,UG,M,40
102,P,25to34,F,UG,L,0
103,P,18to24,M,UG,L,0
104,P,25to34,M,UG,M,65
105,P,25to34,F,UG,L,23
106,P,18to24,F,HS,H,92
107,P,18to24,F,HS,H,100
108,P,25to34,M,UG,M,45
109,P,25to34,M,UG,H,72
110,P,35to44,M,HS,L,5
111,P,18to24,M,HS,M,35
112,P,25to34,F,UG,M,50
113,P,25to34,other,UG,H,69
114,P,18to24,M,UG,H,100
115,P,45to54,M,PG,L,10
116,P,25to34,M,UG,H,85
117,P,25to34,M,UG,H,100
118,P,25to34,F,HS,M,48
119,P,35to44,F,HS,H,75
120,P,18to24,F,UG,L,0
121,P,35to44,F,UG,H,100
122,P,35to44,M,UG,H,75
123,P,25to34,F,PG,L,28
124,P,25to34,M,UG,M,63
125,P,25to34,F,UG,H,100
126,P,18to24,M,HS,H,100
127,P,25to34,M,UG,H,85
128,P,18to24,M,HS,M,46
129,P,18to24,M,UG,M,54
130,P,25to34,M,UG,H,75
131,P,25to34,M,UG,H,75
132,P,35to44,M,HS,H,100
133,P,25to34,other,UG,H,100
134,P,35to44,M,UG,M,55
135,P,25to34,M,UG,H,75
136,P,25to34,F,UG,M,56
137,P,25to34,other,HS,L,0
138,P,45to54,M,UG,H,90
139,P,18to24,M,UG,L,0
140,P,18to24,M,UG,L,19
141,P,25to34,F,HS,L,5
142,P,18to24,F,HS,M,59
143,P,25to34,F,UG,H,92
144,P,18to24,F,UG,H,90
145,P,25to34,M,UG,M,44
146,P,18to24,M,UG,M,63
147,P,25to34,M,HS,H,100
148,P,25to34,F,UG,M,50
149,P,25to34,M,HS,H,76
150,P,25to34,M,UG,M,63
151,P,25to34,other,UG,M,60
152,P,25to34,M,HS,H,80
153,P,35to44,M,UG,M,50
154,P,25to34,M,HS,H,100
155,P,45to54,M,UG,L,NA
156,P,18to24,M,PG,M,50
157,P,25to34,F,UG,M,54
158,P,25to34,other,HS,H,100
159,P,18to24,M,HS,H,100
160,P,35to44,M,UG,M,50
161,P,18to24,M,HS,H,69
162,P,25to34,M,UG,L,30
163,P,25to34,M,HS,M,49
164,P,18to24,M,PG,H,100
165,P,25to34,F,UG,H,100
166,P,25to34,F,UG,H,90
167,P,35to44,F,UG,H,84
168,P,25to34,F,UG,H,80
169,P,25to34,F,PG,H,90
170,P,18to24,F,PG,H,85
171,P,25to34,M,PG,L,7
172,P,45to54,M,PG,L,33
173,P,18to24,F,UG,L,0
