ID,Framing,Age,Gender,Grade,Objective,Score
1,Positive,18to24,Male,UG,H,75
2,Positive,25to34,other,HS,M,56
3,Positive,35to44,other,HS,L,5
4,Positive,45to54,Female,UG,M,50
5,Positive,25to34,Female,PG,M,51
6,Positive,45to54,Female,HS,H,89
7,Positive,18to24,Female,UG,L,20
8,Positive,18to24,Female,UG,M,45
9,Positive,55to64,Female,UG,H,84
10,Positive,25to34,Female,UG,H,100
11,Positive,25to34,Male,UG,M,52
12,Positive,25to34,other,UG,L,30
13,Positive,45to54,Male,HS,L,20
14,Positive,45to54,Female,UG,M,54
15,Positive,18to24,Male,UG,H,70
16,Positive,18to24,Male,UG,L,0
17,Positive,45to54,Female,PG,H,98
18,Positive,18to24,Male,HS,M,36
19,Positive,35to44,Male,OT,H,100
20,Positive,25to34,Male,UG,L,0
21,Positive,25to34,Female,HS,H,76
22,Positive,25to34,other,UG,L,67
23,Positive,25to34,Male,HS,H,100
24,Positive,18to24,Male,UG,L,12
25,Positive,25to34,Female,UG,H,100
26,Positive,18to24,Male,HS,H,100
27,Positive,25to34,Male,HS,M,51
28,Positive,18to24,Male,UG,M,36
29,Positive,18to24,Male,UG,M,50
30,Positive,25to34,Male,UG,H,100
31,Positive,25to34,Female,UG,L,NA
32,Positive,35to44,Female,UG,L,10
33,Positive,18to24,Male,UG,M,50
34,Positive,18to24,Female,UG,H,75
35,Positive,25to34,Male,UG,L,1
36,Positive,25to34,Female,UG,M,50
37,Positive,18to24,Male,UG,H,100
38,Positive,25to34,Female,UG,L,20
39,Positive,35to44,Female,PG,H,100
40,Positive,45to54,Female,HS,L,5
41,Positive,18to24,Male,UG,H,90
42,Positive,25to34,Female,PG,H,81
43,Positive,25to34,Male,UG,H,100
44,Positive,18to24,Male,UG,L,7
45,Positive,18to24,Male,HS,L,24
46,Positive,25to34,Male,UG,M,55
47,Positive,25to34,Female,UG,H,75
48,Positive,25to34,Female,HS,M,50
49,Positive,18to24,Male,UG,M,60
50,Positive,25to34,Male,UG,M,50
51,Positive,35to44,Male,UG,M,46
52,Positive,18to24,Female,HS,M,50
53,Positive,35to44,Female,UG,H,100
54,Positive,35to44,Male,HS,L,NA
55,Positive,35to44,Female,UG,M,44
56,Positive,45to54,Female,UG,L,4
57,Positive,35to44,Male,PG,M,55
58,Positive,18to24,Female,HS,M,61
59,Positive,25to34,Male,UG,H,82
60,Positive,25to34,Male,HS,M,54
61,Positive,25to34,Male,HS,H,75
62,Positive,25to34,Female,PG,H,100
63,Positive,25to34,Female,UG,H,81
64,Positive,25to34,Male,UG,H,90
65,Positive,18to24,Male,UG,L,NA
66,Positive,25to34,Female,UG,L,33
67,Positive,45to54,Male,UG,L,33
68,Positive,25to34,Female,UG,H,90
69,Positive,25to34,other,HS,H,100
70,Positive,25to34,other,UG,M,41
71,Positive,35to44,Male,UG,L,26
72,Positive,18to24,Female,HS,L,0
73,Positive,25to34,Male,UG,L,67
74,Positive,18to24,Male,HS,H,75
75,Positive,18to24,other,UG,M,50
76,Positive,18to24,Male,UG,M,50
77,Positive,18to24,Male,UG,M,52
78,Positive,18to24,Male,UG,H,75
79,Positive,25to34,Male,UG,H,83
80,Positive,35to44,Female,UG,L,25
81,Positive,35to44,Male,UG,M,53
82,Positive,25to34,Female,HS,M,41
83,Positive,45to54,Female,PG,M,53
84,Positive,25to34,Male,HS,M,37
85,Positive,25to34,Female,HS,M,51
86,Positive,25to34,Male,UG,M,53
87,Positive,25to34,Female,UG,L,32
88,Positive,25to34,Female,UG,H,100
89,Positive,25to34,Male,UG,M,51
90,Positive,25to34,Male,UG,M,50
91,Positive,25to34,Male,UG,L,NA
92,Positive,25to34,Female,UG,H,100
93,Positive,25to34,Male,OT,M,51
94,Positive,25to34,Female,PG,H,70
95,Positive,25to34,other,OT,L,0
96,Positive,35to44,Female,UG,M,57
97,Positive,45to54,Female,UG,H,100
98,Positive,35to44,Male,UG,H,100
99,Positive,18to24,Male,UG,H,100
100,Positive,25to34,Male,UG,H,100
101,Positive,25to34,Male,UG,M,40
102,Positive,25to34,Female,UG,L,0
103,Positive,18to24,Male,UG,L,0
104,Positive,25to34,Male,UG,M,65
105,Positive,25to34,Female,UG,L,23
106,Positive,18to24,Female,HS,H,92
107,Positive,18to24,Female,HS,H,100
108,Positive,25to34,Male,UG,M,45
109,Positive,25to34,Male,UG,H,72
110,Positive,35to44,Male,HS,L,5
111,Positive,18to24,Male,HS,M,35
112,Positive,25to34,Female,UG,M,50
113,Positive,25to34,other,UG,H,69
114,Positive,18to24,Male,UG,H,100
115,Positive,45to54,Male,PG,L,10
116,Positive,25to34,Male,UG,H,85
117,Positive,25to34,Male,UG,H,100
118,Positive,25to34,Female,HS,M,48
119,Positive,35to44,Female,HS,H,75
120,Positive,18to24,Female,UG,L,0
121,Positive,35to44,Female,UG,H,100
122,Positive,35to44,Male,UG,H,75
123,Positive,25to34,Female,PG,L,28
124,Positive,25to34,Male,UG,M,63
125,Positive,25to34,Female,UG,H,100
126,Positive,18to24,Male,HS,H,100
127,Positive,25to34,Male,UG,H,85
128,Positive,18to24,Male,HS,M,46
129,Positive,18to24,Male,UG,M,54
130,Positive,25to34,Male,UG,H,75
131,Positive,25to34,Male,UG,H,75
132,Positive,35to44,Male,HS,H,100
133,Positive,25to34,other,UG,H,100
134,Positive,35to44,Male,UG,M,55
135,Positive,25to34,Male,UG,H,75
136,Positive,25to34,Female,UG,M,56
137,Positive,25to34,other,HS,L,0
138,Positive,45to54,Male,UG,H,90
139,Positive,18to24,Male,UG,L,0
140,Positive,18to24,Male,UG,L,19
141,Positive,25to34,Female,HS,L,5
142,Positive,18to24,Female,HS,M,59
143,Positive,25to34,Female,UG,H,92
144,Positive,18to24,Female,UG,H,90
145,Positive,25to34,Male,UG,M,44
146,Positive,18to24,Male,UG,M,63
147,Positive,25to34,Male,HS,H,100
148,Positive,25to34,Female,UG,M,50
149,Positive,25to34,Male,HS,H,76
150,Positive,25to34,Male,UG,M,63
151,Positive,25to34,other,UG,M,60
152,Positive,25to34,Male,HS,H,80
153,Positive,35to44,Male,UG,M,50
154,Positive,25to34,Male,HS,H,100
155,Positive,45to54,Male,UG,L,NA
156,Positive,18to24,Male,PG,M,50
157,Positive,25to34,Female,UG,M,54
158,Positive,25to34,other,HS,H,100
159,Positive,18to24,Male,HS,H,100
160,Positive,35to44,Male,UG,M,50
161,Positive,18to24,Male,HS,H,69
162,Positive,25to34,Male,UG,L,30
163,Positive,25to34,Male,HS,M,49
164,Positive,18to24,Male,PG,H,100
165,Positive,25to34,Female,UG,H,100
166,Positive,25to34,Female,UG,H,90
167,Positive,35to44,Female,UG,H,84
168,Positive,25to34,Female,UG,H,80
169,Positive,25to34,Female,PG,H,90
170,Positive,18to24,Female,PG,H,85
171,Positive,25to34,Male,PG,L,7
172,Positive,45to54,Male,PG,L,33
173,Positive,18to24,Female,UG,L,0
174,Positive,25to34,Female,HS,M,52
175,Positive,25to34,Female,HS,M,54
176,Negative,25to34,Female,UG,H,100
177,Negative,18to24,Male,UG,H,82
178,Negative,18to24,Male,UG,L,20
179,Negative,25to34,Male,UG,M,52
180,Negative,35to44,Female,UG,M,50
181,Negative,45to54,Female,PG,L,8
182,Negative,35to44,Female,UG,M,50
183,Negative,25to34,Female,UG,L,19
184,Negative,25to34,Male,UG,M,45
185,Negative,25to34,Male,UG,H,100
186,Negative,35to44,Male,UG,L,NA
187,Negative,25to34,Male,UG,L,0
188,Negative,35to44,Female,UG,L,NA
189,Negative,18to24,Male,UG,H,100
190,Negative,45to54,Male,UG,M,40
191,Negative,25to34,Male,UG,H,80
192,Negative,18to24,Male,HS,L,0
193,Negative,25to34,Female,PG,L,9
194,Negative,25to34,Male,HS,H,100
195,Negative,18to24,Female,UG,H,71
196,Negative,35to44,Female,UG,L,33
197,Negative,25to34,Male,UG,H,90
198,Negative,45to54,Male,UG,H,78
199,Negative,35to44,Female,UG,H,100
200,Negative,25to34,Male,UG,H,100
201,Negative,25to34,Male,HS,L,1
202,Negative,18to24,Male,UG,L,28
203,Negative,25to34,Female,UG,L,29
204,Negative,25to34,Male,UG,L,33
205,Negative,25to34,Female,PG,M,52
206,Negative,35to44,Male,HS,L,0
207,Negative,35to44,Male,UG,L,12
208,Negative,18to24,Male,HS,H,70
209,Negative,25to34,Male,UG,H,81
210,Negative,45to54,Female,UG,M,50
211,Negative,35to44,Female,UG,L,32
212,Negative,25to34,Female,HS,L,16
213,Negative,25to34,Male,UG,M,52
214,Negative,45to54,Male,HS,H,98
215,Negative,25to34,Male,HS,H,74
216,Negative,25to34,Male,UG,H,100
217,Negative,25to34,Male,UG,L,0
218,Negative,25to34,Male,PG,M,40
219,Negative,35to44,Male,HS,M,45
220,Negative,25to34,Male,UG,L,15
221,Negative,35to44,Male,HS,L,0
222,Negative,18to24,Male,HS,L,0
223,Negative,18to24,Female,HS,H,85
224,Negative,35to44,Male,PG,L,0
225,Negative,25to34,Male,HS,H,100
226,Negative,25to34,Female,HS,L,25
227,Negative,18to24,Male,UG,L,5
228,Negative,18to24,Male,UG,H,75
229,Negative,35to44,Male,HS,H,100
230,Negative,18to24,Male,HS,M,46
231,Negative,25to34,Male,UG,H,100
232,Negative,25to34,Female,UG,L,19
